Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Robert Tonyan (11182746),Robert Tonyan,11182746,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Trevor Davis (11182653),Trevor Davis,11182653,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0.83
WR,Marquez Valdes-Scantling (11182654),Marquez Valdes-Scantling,11182654,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,J'Mon Moore (11182655),J'Mon Moore,11182655,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Lance Kendricks (11182656),Lance Kendricks,11182656,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,2.77
TE,Dion Sims (11182657),Dion Sims,11182657,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,2.79
RB,Devante Mays (11182658),Devante Mays,11182658,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0.26
RB,Ryan Nall (11182659),Ryan Nall,11182659,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Michael Burton (11182660),Michael Burton,11182660,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0.23
TE,Patrick Scales (11182661),Patrick Scales,11182661,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Joe Kerridge (11182662),Joe Kerridge,11182662,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0.32
RB,LeShun Daniels Jr. (11182663),LeShun Daniels Jr.,11182663,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0.35
RB,Aaron Ripkowski (11182664),Aaron Ripkowski,11182664,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0.76
RB,Knile Davis (11182665),Knile Davis,11182665,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Tanner Gentry (11182666),Tanner Gentry,11182666,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,1.62
WR,Demarcus Ayers (11182667),Demarcus Ayers,11182667,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Marlon Brown (11182668),Marlon Brown,11182668,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Malachi Jones (11182669),Malachi Jones,11182669,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Garrett Johnson (11182670),Garrett Johnson,11182670,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
TE,Daniel Brown (11182671),Daniel Brown,11182671,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,1.85
TE,Colin Thompson (11182672),Colin Thompson,11182672,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
TE,Ben Braunecker (11182673),Ben Braunecker,11182673,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Bronson Hill (11182674),Bronson Hill,11182674,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,-0.1
RB,Kyle Lewis (11182675),Kyle Lewis,11182675,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
RB,Aaron Jones (11182676),Aaron Jones,11182676,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,7.17
WR,Adonis Jennings (11182677),Adonis Jennings,11182677,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Jake Kumerow (11182678),Jake Kumerow,11182678,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,DeAngelo Yancey (11182679),DeAngelo Yancey,11182679,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Ryan Smith (11182680),Ryan Smith,11182680,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Kevin Rader (11182681),Kevin Rader,11182681,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
TE,Emanuel Byrd (11182682),Emanuel Byrd,11182682,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,5.1
TE,Robert Tonyan (11182683),Robert Tonyan,11182683,FLEX,200,CHI@GB 09/09/2018 08:20PM ET,GB,0
