Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Janarion Grant (11244118),Janarion Grant,11244118,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,Quincy Adeboyejo (11244119),Quincy Adeboyejo,11244119,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,Jordan Lasley (11244120),Jordan Lasley,11244120,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Darren Waller (11244121),Darren Waller,11244121,CPT,300,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
RB,Mark Walton (11244068),Mark Walton,11244068,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
RB,Tra Carson (11244069),Tra Carson,11244069,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,Auden Tate (11244070),Auden Tate,11244070,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,Josh Malone (11244071),Josh Malone,11244071,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,1.68
WR,Cody Core (11244072),Cody Core,11244072,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,Mason Schreck (11244073),Mason Schreck,11244073,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,Clark Harris (11244074),Clark Harris,11244074,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
TE,C.J. Uzomah (11244075),C.J. Uzomah,11244075,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,CIN,1.8
RB,Patrick Ricard (11244076),Patrick Ricard,11244076,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,Janarion Grant (11244077),Janarion Grant,11244077,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,Quincy Adeboyejo (11244078),Quincy Adeboyejo,11244078,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,Jordan Lasley (11244079),Jordan Lasley,11244079,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
TE,Darren Waller (11244080),Darren Waller,11244080,FLEX,200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
